ID;Award;Artist;Title;Certification date;Label;Format;Release date;Category;Type;Certified Units;Genre
103571;Gold;BANKROLL FRESH FEAT. STREET MONEY BOOCHIE, TRAVIS PORTER & JEEZY;WALKED IN REMIX;November 29, 2017;STREET MONEY WORLDWIDE / STREET EXECS;SINGLEMORE DETAILS ;September 28, 2015; None;Digital;0.5 Million ;R&B/HIP HOP
103519;Platinum;CHRIS BROWN;NEXT TO YOU (FEAT. JUSTIN BIEBER);November 22, 2017;RCA;SINGLEMORE DETAILS ;March 18, 2011;SOLO;Digital;1 Million ;R&B/HIP HOP
103572;Platinum;CHRIS BROWN;WALL TO WALL;November 22, 2017;RCA;SINGLEMORE DETAILS ;May 29, 2017;SOLO;Digital;1 Million ;R&B/HIP HOP
103521;Gold;CHRIS BROWN;NO BS (FEAT. KEVIN MCCALL);November 22, 2017;RCA;SINGLEMORE DETAILS ;January 18, 2011;SOLO;Digital;0.5 Million ;R&B/HIP HOP
103574;Gold;CHRIS BROWN;WET THE BED (FEAT. LUDACRIS);November 22, 2017;RCA;SINGLEMORE DETAILS ;September 13, 2011;SOLO;Digital;0.5 Million ;R&B/HIP HOP
103898;Platinum;CHRIS BROWN;PILLS & AUTOMOBILES (FEAT. YO GOTTI, A BOOGIE WIT DA HOODIE, & KODAK BLACK);November 22, 2017;RCA;SINGLEMORE DETAILS ;August 4, 2017;SOLO;Digital;1 Million ;R&B/HIP HOP
103607;Gold;TREY PARKER, ROBERT LOPEZ, MATT STONE;THE BOOK OF MORMON (ORIGINAL BROADWAY CAST RECORDING);November 22, 2017;GHOSTLIGHT RECORDS;ALBUMMORE DETAILS ;May 17, 2011; None;Standard;0.5 Million ;SOUNDTRACK
103476;Platinum;CHRIS BROWN;FOREVER;November 22, 2017;RCA;SINGLEMORE DETAILS ;April 29, 2008;SOLO;Digital;4 Million ;R&B/HIP HOP
103468;Gold;CHRIS BROWN;DON'T THINK THEY KNOW (FEAT. AALIYAH);November 22, 2017;RCA;SINGLEMORE DETAILS ;June 17, 2013;SOLO;Digital;0.5 Million ;R&B/HIP HOP
103583;Platinum;CHRIS BROWN;WITH YOU;November 22, 2017;RCA;SINGLEMORE DETAILS ;November 6, 2007;SOLO;Digital;3 Million ;R&B/HIP HOP
103529;Platinum;CHRIS BROWN;PRIVACY;November 22, 2017;RCA;SINGLEMORE DETAILS ;March 24, 2017;SOLO;Digital;1 Million ;R&B/HIP HOP
103560;Gold;CHRIS BROWN;SUPERHUMAN;November 22, 2017;RCA;SINGLEMORE DETAILS ;October 3, 2008;SOLO;Digital;0.5 Million ;R&B/HIP HOP
103481;Platinum;CHRIS BROWN;GIMME THAT;November 22, 2017;RCA;SINGLEMORE DETAILS ;November 29, 2005;SOLO;Digital;1 Million ;R&B/HIP HOP
103588;Platinum;CHRIS BROWN;YO (EXCUSE ME MISS);November 22, 2017;RCA;SINGLEMORE DETAILS ;November 29, 2005;SOLO;Digital;1 Million ;R&B/HIP HOP
103610;Gold;TOBYMAC;THIS IS NOT A TEST;November 22, 2017;CAPITOL CHRISTIAN MUSIC GROUP;ALBUMMORE DETAILS ;August 7, 2015;SOLO;Standard;0.5 Million ;CHRISTIAN/GOSP
103490;Platinum;CHRIS BROWN;I CAN TRANSFORM YA (FEAT. LIL WAYNE & SWIZZ BEATZ);November 22, 2017;RCA;SINGLEMORE DETAILS ;September 29, 2009;SOLO;Digital;2 Million ;R&B/HIP HOP
103482;Platinum;CHRIS BROWN;GRASS AIN'T GREENER;November 22, 2017;RCA;SINGLEMORE DETAILS ;June 17, 2016;SOLO;Digital;1 Million ;R&B/HIP HOP
103592;Gold;CHRIS BROWN;ZERO;November 22, 2017;RCA;SINGLEMORE DETAILS ;September 18, 2015;SOLO;Digital;0.5 Million ;R&B/HIP HOP
103464;Gold;CHRIS BROWN;CRAWL;November 22, 2017;RCA;SINGLEMORE DETAILS ;November 23, 2009;SOLO;Digital;0.5 Million ;R&B/HIP HOP
103563;Gold;CHRIS BROWN;SWEET LOVE;November 22, 2017;RCA;SINGLEMORE DETAILS ;April 10, 2012;SOLO;Digital;0.5 Million ;R&B/HIP HOP
103564;Gold;CHRIS BROWN;TAKE YOU DOWN;November 22, 2017;RCA;SINGLEMORE DETAILS ;April 6, 2008;SOLO;Digital;0.5 Million ;R&B/HIP HOP
103542;Platinum;CHRIS BROWN;RUN IT!;November 22, 2017;RCA;SINGLEMORE DETAILS ;July 1, 2005;SOLO;Digital;2 Million ;R&B/HIP HOP
103467;Platinum;CHRIS BROWN;DON'T JUDGE ME;November 22, 2017;RCA;SINGLEMORE DETAILS ;August 14, 2012;SOLO;Digital;1 Million ;R&B/HIP HOP
103544;Platinum;CHRIS BROWN;SAY GOODBYE;November 22, 2017;RCA;SINGLEMORE DETAILS ;November 29, 2005;SOLO;Digital;1 Million ;R&B/HIP HOP
103569;Gold;CHRIS BROWN;THIS CHRISTMAS;November 22, 2017;RCA;SINGLEMORE DETAILS ;November 21, 2007;SOLO;Digital;0.5 Million ;R&B/HIP HOP
105558;Platinum;WALKER HAYES;YOU BROKE UP WITH ME;November 22, 2017;MONUMENT RECORDS;SINGLEMORE DETAILS ;January 27, 2017; None;Digital;1 Million ;COUNTRY
103221;Diamond;WHITNEY HOUSTON;THE BODYGUARD (SOUNDTRACK);November 17, 2017;RCA RECORDS;ALBUMMORE DETAILS ;November 17, 1992;SOLO;Standard;18 Million ; None
103099;Gold;BRYSON TILLER;502 COME UP;November 16, 2017;RCA;SINGLEMORE DETAILS ;October 2, 2015; None;Digital;0.5 Million ;R&B/HIP HOP
103428;Platinum;LUKE BRYAN;DO I;November 16, 2017;CAPITOL NASHVILLE;SINGLEMORE DETAILS ;May 5, 2009;GROUP;Digital;2 Million ;COUNTRY
103200;Gold;BROTHERS OSBORNE;PAWN SHOP;November 16, 2017;EMI RECORDS NASHVILLE;ALBUMMORE DETAILS ;January 15, 2016; None;Standard;0.5 Million ;COUNTRY
103133;Platinum;BRYSON TILLER;DON'T;November 16, 2017;RCA;SINGLEMORE DETAILS ;May 20, 2015; None;Digital;4 Million ;R&B/HIP HOP
103226;Platinum;BRYSON TILLER;TRAPSOUL;November 16, 2017;RCA;ALBUMMORE DETAILS ;October 16, 2015; None;Standard;2 Million ;R&B/HIP HOP
103166;Platinum;BRYSON TILLER;OVERTIME;November 16, 2017;RCA;SINGLEMORE DETAILS ;May 20, 2015; None;Digital;1 Million ;R&B/HIP HOP
103432;Platinum;LUKE BRYAN;DON'T WANT THIS NIGHT TO END;November 16, 2017;CAPITOL RECORDS NASHVILLE;SINGLEMORE DETAILS ;August 9, 2011;GROUP;Digital;4 Million ;COUNTRY
103437;Gold;MACHINE GUN KELLY;BLOOM;November 16, 2017;BAD BOY/INTERSCOPE;ALBUMMORE DETAILS ;May 12, 2017;SOLO;Standard;0.5 Million ;R&B/HIP HOP
103170;Gold;BRYSON TILLER;RAMBO;November 16, 2017;RCA;SINGLEMORE DETAILS ;May 20, 2015; None;Digital;0.5 Million ;R&B/HIP HOP
103436;Platinum;LUKE BRYAN;KICK THE DUST UP;November 16, 2017;CAPITOL RECORDS NASHVILLE;SINGLEMORE DETAILS ;August 7, 2015;SOLO;Digital;2 Million ;COUNTRY
104518;Platinum;JACQUEES;B.E.D.;November 16, 2017;CASH MONEY / REPUBLIC RECORDS;SINGLEMORE DETAILS ;July 8, 2016; None;Digital;1 Million ;R&B/HIP HOP
103144;Gold;BRYSON TILLER;FOR HOWEVER;November 16, 2017;RCA;SINGLEMORE DETAILS ;October 2, 2015; None;Digital;0.5 Million ;R&B/HIP HOP
103172;Platinum;BRYSON TILLER;RIGHT MY WRONGS;November 16, 2017;RCA;SINGLEMORE DETAILS ;September 25, 2015; None;Digital;1 Million ;R&B/HIP HOP
103442;Diamond;BEE GEES;SATURDAY NIGHT FEVER (SOUNDTRACK);November 16, 2017;CAPITOL;ALBUMMORE DETAILS ;January 7, 1977;GROUP;Standard;16 Million ;SOUNDTRACK
104376;Platinum;BRYSON TILLER;EXCHANGE;November 16, 2017;RCA RECORDS;SINGLEMORE DETAILS ;September 21, 2015; None;Digital;4 Million ;R&B/HIP HOP
103147;Gold;DAN + SHAY;HOW NOT TO;November 16, 2017;WARNER BROS. RECORDS;SINGLEMORE DETAILS ;September 26, 2016; None;Digital;0.5 Million ;COUNTRY
103134;Gold;CARLY PEARCE;EVERY LITTLE THING;November 14, 2017;BIG MACHINE RECORDS;SINGLEMORE DETAILS ;January 23, 2017; None;Digital;0.5 Million ;COUNTRY
108348;Platinum;FRENCH MONTANA;UNFORGETTABLE (FEAT. SWAE LEE);November 14, 2017;EPIC;SINGLEMORE DETAILS ;April 7, 2017;SOLO;Digital;6 Million ;R&B/HIP HOP
106046;Platinum;MAROON 5;RED PILL BLUES;November 14, 2017;222 RECORDS / INTERSCOPE;ALBUMMORE DETAILS ;November 3, 2017;GROUP;Standard;1 Million ;POP
107205;Platinum;DEMI LOVATO;SORRY NOT SORRY;November 14, 2017;ISLAND RECORDS;SINGLEMORE DETAILS ;July 11, 2017;SOLO;Digital;4 Million ;POP
107097;Platinum;POST MALONE;ROCKSTAR;November 14, 2017;REPUBLIC RECORDS;SINGLEMORE DETAILS ;September 15, 2017; None;Digital;7 Million ;R&B/HIP HOP
103407;Platinum;SELENA;SI UNA VEZ;November 13, 2017;UNIVERSAL MUSIC LATINO;SINGLEMORE DETAILS ;March 13, 1994;SOLO;Latin;0.18 Million ;LATIN
103290;Platinum;SELENA;COMO LA FLOR;November 13, 2017;UNIVERSAL MUSIC LATINO;SINGLEMORE DETAILS ;July 18, 1995;SOLO;Latin;0.54 Million ;LATIN
103355;Platinum;SELENA;LA LLAMADA;November 13, 2017;UNIVERSAL MUSIC LATINO;SINGLEMORE DETAILS ;April 7, 1998;SOLO;Latin;0.06 Million ;LATIN
103414;Platinum;SELENA;SIEMPRE SELENA;November 13, 2017;UNIVERSAL MUSIC LATINO;ALBUMMORE DETAILS ;January 1, 1996;SOLO;Latin;0.18 Million ;LATIN
103300;Gold;SELENA;CUMBIA MEDLEY;November 13, 2017;UNIVERSAL MUSIC LATINO;SINGLEMORE DETAILS ;October 28, 2008;SOLO;Latin;0.03 Million ;LATIN
103358;Platinum;SELENA;LIVE;November 13, 2017;UNIVERSAL MUSIC LATINO;ALBUMMORE DETAILS ;April 26, 1993;SOLO;Latin;0.48 Million ;LATIN
103415;Platinum;SELENA;TECHNO CUMBIA;November 13, 2017;UNIVERSAL MUSIC LATINO;SINGLEMORE DETAILS ;March 13, 1994;SOLO;Latin;0.06 Million ;LATIN
103301;Gold;SELENA;DONDE QUIERA QUE ESTES;November 13, 2017;UNIVERSAL MUSIC LATINO;SINGLEMORE DETAILS ;March 13, 1994;SOLO;Latin;0.03 Million ;LATIN
103368;Platinum;SELENA;LIVE: THE LAST CONCERT;November 13, 2017;UNIVERSAL MUSIC LATINO;ALBUMMORE DETAILS ;March 27, 2001;SOLO;Latin;0.18 Million ;LATIN
103417;Platinum;SELENA;TU, SOLO TU;November 13, 2017;UNIVERSAL MUSIC LATINO;SINGLEMORE DETAILS ;July 19, 1995;SOLO;Latin;0.06 Million ;LATIN
103306;Diamond;SELENA;DREAMING OF YOU;November 13, 2017;UNIVERSAL MUSIC LATINO;ALBUMMORE DETAILS ;July 18, 1995;SOLO;Latin;3.54 Million ;LATIN
103370;Platinum;SELENA;LO MEJOR DE…;November 13, 2017;UNIVERSAL MUSIC LATINO;ALBUMMORE DETAILS ;March 31, 2014;SOLO;Latin;0.12 Million ;LATIN
103419;Platinum;SELENA;UNFORGETTABLE;November 13, 2017;UNIVERSAL MUSIC LATINO;ALBUMMORE DETAILS ;March 4, 2008;SOLO;Latin;0.06 Million ;LATIN
103252;Diamond;SELENA;AMOR PROHIBIDO;November 13, 2017;UNIVERSAL MUSIC LATINO;ALBUMMORE DETAILS ;March 22, 1994;SOLO;Latin;2.16 Million ;LATIN
103330;Platinum;SELENA;EL CHICO DEL APARTAMENTO 512;November 13, 2017;UNIVERSAL MUSIC LATINO;SINGLEMORE DETAILS ;March 13, 1994;SOLO;Latin;0.12 Million ;LATIN
103377;Diamond;SELENA;MIS MEJORES CANCIONES: 17 SUPER EXITOS;November 13, 2017;UNIVERSAL MUSIC LATINO;ALBUMMORE DETAILS ;August 24, 1993;SOLO;Latin;0.6 Million ;LATIN
103424;Platinum;SELENA;VEN CONMIGO;November 13, 2017;UNIVERSAL MUSIC LATINO;ALBUMMORE DETAILS ;November 12, 1990;SOLO;Latin;0.18 Million ;LATIN
103238;Platinum;SELENA;AMOR PROHIBIDO;November 13, 2017;UNIVERSAL MUSIC LATINO;SINGLEMORE DETAILS ;January 1, 1994;SOLO;Latin;0.42 Million ;LATIN
103333;Gold;SELENA;ENAMORADA DE TI;November 13, 2017;UNIVERSAL MUSIC LATINO;ALBUMMORE DETAILS ;April 3, 2012;SOLO;Latin;0.03 Million ;LATIN
103381;Gold;SELENA;MOMENTOS INTIMOS;November 13, 2017;UNIVERSAL MUSIC LATINO;ALBUMMORE DETAILS ;January 1, 2004;SOLO;Latin;0.03 Million ;LATIN
103338;Diamond;SELENA;ENTRE A MI MUNDO;November 13, 2017;UNIVERSAL MUSIC LATINO;ALBUMMORE DETAILS ;April 27, 1992;SOLO;Latin;0.6 Million ;LATIN
103382;Platinum;SELENA;NO DEBES JUGAR;November 13, 2017;UNIVERSAL MUSIC LATINO;SINGLEMORE DETAILS ;April 7, 1998;SOLO;Latin;0.06 Million ;LATIN
103268;Diamond;SELENA;ANTHOLOGY;November 13, 2017;UNIVERSAL MUSIC LATINO;ALBUMMORE DETAILS ;March 31, 1998;SOLO;Latin;0.6 Million ;LATIN
103342;Platinum;SELENA;FOTOS Y RECUERDOS;November 13, 2017;UNIVERSAL MUSIC LATINO;SINGLEMORE DETAILS ;September 13, 1994;SOLO;Latin;0.06 Million ;LATIN
103384;Platinum;SELENA;NO ME QUEDA MAS;November 13, 2017;UNIVERSAL MUSIC LATINO;SINGLEMORE DETAILS ;March 13, 1994;SOLO;Latin;0.24 Million ;LATIN
103272;Platinum;SELENA;BAILA ESTA CUMBIA;November 13, 2017;UNIVERSAL MUSIC LATINO;SINGLEMORE DETAILS ;February 26, 1995;SOLO;Latin;0.36 Million ;LATIN
103232;Diamond;SELENA;ALL MY HITS: TODOS MIS EXITOS;November 13, 2017;UNIVERSAL MUSIC LATINO;ALBUMMORE DETAILS ;March 9, 1999;SOLO;Latin;0.6 Million ;LATIN
103344;Platinum;SELENA;GREATEST HITS;November 13, 2017;UNIVERSAL MUSIC LATINO;ALBUMMORE DETAILS ;June 24, 2003;SOLO;Latin;0.24 Million ;LATIN
103393;Diamond;SELENA;ONES;November 13, 2017;UNIVERSAL MUSIC LATINO;ALBUMMORE DETAILS ;October 1, 2002;SOLO;Latin;1.08 Million ;LATIN
103279;Platinum;SELENA;BIDI BIDI BOM BOM;November 13, 2017;UNIVERSAL MUSIC LATINO;SINGLEMORE DETAILS ;March 13, 1994;SOLO;Latin;0.54 Million ;LATIN
103349;Platinum;SELENA;LA CARCACHA;November 13, 2017;UNIVERSAL MUSIC LATINO;SINGLEMORE DETAILS ;May 6, 1992;SOLO;Latin;0.18 Million ;LATIN
103406;Gold;SELENA;QUE CREIAS;November 13, 2017;UNIVERSAL MUSIC LATINO;SINGLEMORE DETAILS ;May 6, 1992;SOLO;Latin;0.03 Million ;LATIN
103289;Gold;SELENA;BUENOS AMIGOS;November 13, 2017;UNIVERSAL MUSIC LATINO;SINGLEMORE DETAILS ;May 6, 1992;SOLO;Latin;0.03 Million ;LATIN
103353;Platinum;SELENA;LA LEYENDA;November 13, 2017;UNIVERSAL MUSIC LATINO;ALBUMMORE DETAILS ;January 1, 2010;SOLO;Latin;0.06 Million ;LATIN
103152;Platinum;JULIA MICHAELS;ISSUES;November 10, 2017;REPUBLIC RECORDS;SINGLEMORE DETAILS ;January 13, 2017; None;Digital;3 Million ;POP
103110;Platinum;QUEEN;ANOTHER ONE BITES THE DUST;November 10, 2017;HOLLYWOOD;SINGLEMORE DETAILS ;October 17, 1994;GROUP;Digital;4 Million ;ROCK
103195;Gold;CHINA ANNE MCCLAIN;WHAT'S MY NAME (FROM "DESCENDANTS 2";November 10, 2017;WALT DISNEY RECORDS;SINGLEMORE DETAILS ;June 2, 2017; None;Digital;0.5 Million ;SOUNDTRACK
103156;Gold;K CAMP;LIL BIT;November 10, 2017;FTE / INTERSCOPE RECORDS;SINGLEMORE DETAILS ;January 27, 2015; None;Digital;0.5 Million ;R&B/HIP HOP
103114;Gold;2 CHAINZ;BIG AMOUNT;November 10, 2017;DEF JAM;SINGLEMORE DETAILS ;September 23, 2016;SOLO;Digital;0.5 Million ;R&B/HIP HOP
107514;Platinum;LOGIC;1-800-273-8255;November 10, 2017;DEF JAM;SINGLEMORE DETAILS ;May 5, 2017; None;Digital;5 Million ;R&B/HIP HOP
108751;Platinum;LUKAS GRAHAM;7 YEARS;November 10, 2017;WARNER BROS RECORDS ;SINGLEMORE DETAILS ;October 22, 2015; None;Digital;6 Million ;POP
103199;Gold;VARIOUS ARTISTS;DISNEY KAROAKE SERIES: FROZEN;November 10, 2017;WALT DISNEY RECORDS;ALBUMMORE DETAILS ;April 15, 2014; None;Standard;0.5 Million ;SOUNDTRACK
103112;Platinum;CHRIS BROWN X TYGA;AYO;November 10, 2017;RCA;SINGLEMORE DETAILS ;January 6, 2015; None;Digital;2 Million ;R&B/HIP HOP
103207;Platinum;RAE SREMMURD;SREMMLIFE 2;November 10, 2017;EAR DRUMMER RECORDS / INTERSCOPE;ALBUMMORE DETAILS ;August 12, 2016; None;Standard;1 Million ;R&B/HIP HOP
103159;Platinum;CHRIS BROWN;LOVE MORE (FEAT. NICKI MINAJ);November 10, 2017;RCA RECORDS;SINGLEMORE DETAILS ;July 16, 2013;SOLO;Digital;1 Million ;R&B/HIP HOP
103198;Platinum;SKILLET;AWAKE;November 10, 2017;ARDENT/ATLANTIC;ALBUMMORE DETAILS ;August 25, 2009;GROUP;Standard;2 Million ;ROCK
103139;Platinum;NICKI MINAJ;FEELING MYSELF;November 10, 2017;YOUNG MONEY / CASH MONEY / REPUBLIC RECORDS;SINGLEMORE DETAILS ;December 15, 2014;SOLO;Digital;2 Million ;R&B/HIP HOP
103162;Platinum;LUKAS GRAHAM;MAMA SAID;November 10, 2017;WARNER BROS RECORDS ;SINGLEMORE DETAILS ;October 22, 2015; None;Digital;1 Million ;POP
103223;Gold;ALT-J;THIS IS ALL YOURS;November 10, 2017;CANVASBACK/ATLANTIC;ALBUMMORE DETAILS ;September 22, 2014; None;Standard;0.5 Million ;ALTERNATIVE
103163;Platinum;CHRIS BROWN;NEW FLAME (FEAT. USHER & RICK ROSS);November 10, 2017;RCA RECORDS;SINGLEMORE DETAILS ;June 30, 2014;SOLO;Digital;2 Million ;R&B/HIP HOP
108176;Platinum;D.R.A.M.;BROCCOLI;November 10, 2017;WAVERECORDINGS / EMPIRE / ATLANTIC;SINGLEMORE DETAILS ;April 6, 2016; None;Digital;7 Million ;R&B/HIP HOP
103098;Platinum;2 CHAINZ;4 AM;November 10, 2017;DEF JAM;SINGLEMORE DETAILS ;May 29, 2017;SOLO;Digital;1 Million ;R&B/HIP HOP
106246;Platinum;LIAM PAYNE;STRIP THAT DOWN;November 10, 2017;REPUBLIC RECORDS;SINGLEMORE DETAILS ;May 19, 2017; None;Digital;3 Million ;POP
103120;Platinum;QUEEN;BOHEMIAN RHAPSODY;November 10, 2017;HOLLYWOOD RECORDS;SINGLEMORE DETAILS ;September 24, 2002;GROUP;Digital;6 Million ;ROCK
103143;Platinum;CHRIS BROWN;FINE CHINA;November 10, 2017;RCA RECORDS;SINGLEMORE DETAILS ;March 29, 2013;SOLO;Digital;1 Million ;R&B/HIP HOP
103184;Platinum;RAE SREMMURD;SWANG;November 10, 2017;EARDRUMMER / INTERSCOPE;SINGLEMORE DETAILS ;June 24, 2016; None;Digital;3 Million ;R&B/HIP HOP
103148;Platinum;ARIANA GRANDE;INTO YOU;November 10, 2017;REPUBLIC RECORDS;SINGLEMORE DETAILS ;May 6, 2016;SOLO;Digital;3 Million ;POP
102997;Gold;MACHINE GUN KELLY;INVINCIBLE;November 9, 2017;BAD BOY/INTERSCOPE;SINGLEMORE DETAILS ;March 20, 2012;SOLO;Digital;0.5 Million ;R&B/HIP HOP
102957;Platinum;K CAMP;COMFORTABLE;November 9, 2017;FAMILY TIES ENTERTAINMENT / INTERSCOPE;SINGLEMORE DETAILS ;June 9, 2015; None;Digital;1 Million ;R&B/HIP HOP
102928;Gold;K CAMP;1HUNNID;November 9, 2017;FAMILY TIES ENTERTAINMENT / INTERSCOPE;SINGLEMORE DETAILS ;September 3, 2015; None;Digital;0.5 Million ;R&B/HIP HOP
103003;Platinum;KID INK;MAIN CHICK (FEAT. CHRIS BROWN);November 8, 2017;RCA RECORDS;SINGLEMORE DETAILS ;January 7, 2014; None;Digital;1 Million ;R&B/HIP HOP
105409;Platinum;KANE BROWN;KANE BROWN;November 8, 2017;RCA NASHVILLE;ALBUMMORE DETAILS ;December 2, 2016; None;Standard;1 Million ;COUNTRY
